Date,Open,High,Low,Close,Adj Close,Volume
2021-08-10,406.910004,407.670013,406.230011,406.980011,389.959961,2400700
2021-08-11,408.000000,408.070007,406.910004,407.959991,390.898956,3554400
2021-08-12,407.820007,409.329987,406.970001,409.149994,392.039154,2319300
2021-08-13,409.640015,409.959991,409.179993,409.959991,392.815308,2253800
2021-08-16,408.709991,411.010010,407.149994,410.940002,393.754364,3379100
2021-08-17,408.410004,409.049988,405.309998,408.230011,391.157654,5186300
2021-08-18,407.220001,408.750000,403.540009,403.839996,386.951294,4878300
2021-08-19,401.089996,405.549988,400.929993,404.410004,387.497406,5505700
2021-08-20,404.679993,407.920013,404.260010,407.609985,390.563599,3263600
2021-08-23,409.250000,412.079987,409.230011,411.220001,394.022614,3259400
2021-08-24,411.899994,412.359985,411.350006,411.869995,394.645447,3006500
2021-08-25,412.059998,413.209991,411.670013,412.630005,395.373688,3261400
2021-08-26,412.410004,412.660004,410.200012,410.220001,393.064514,4707600
2021-08-27,411.089996,414.329987,411.019989,413.859985,396.552216,3882200
2021-08-30,414.660004,416.559998,414.390015,415.760010,398.372772,2811800
2021-08-31,415.660004,416.019989,414.579987,415.049988,397.692444,6062900
2021-09-01,416.049988,416.589996,415.160004,415.489990,398.114075,3256400
2021-09-02,416.799988,417.440002,415.500000,416.730011,399.302216,2835500
2021-09-03,415.579987,417.059998,415.160004,416.570007,399.148956,3740000
2021-09-07,416.269989,416.290009,414.420013,415.029999,397.673340,3542500
2021-09-08,414.529999,415.260010,412.670013,414.630005,397.290009,4012600
2021-09-09,414.339996,416.070007,412.570007,412.769989,395.507782,3887800
2021-09-10,414.690002,415.100006,409.420013,409.579987,392.451233,4035500
2021-09-13,412.519989,412.709991,408.309998,410.540009,393.371094,4738300
2021-09-14,412.019989,412.179993,407.489990,408.410004,391.330109,3657700
2021-09-15,408.790009,412.260010,407.700012,411.820007,394.597595,3891400
2021-09-16,411.269989,412.190002,408.230011,411.109985,393.917206,3351500
2021-09-17,410.350006,410.779999,406.769989,407.079987,390.055725,5396100
2021-09-20,401.109985,402.640015,395.570007,400.429993,383.683868,10942700
2021-09-21,402.660004,403.899994,399.440002,400.040009,383.310242,6418100
2021-09-22,402.170013,405.850006,401.260010,403.899994,387.008759,6004800
